date,open,close,high,low,volume
2022-01-24,304.5214186468964,318.81689453125,322.07786144254305,290.293404457869,106200
2022-01-25,313.51895406485863,320.40594482421875,329.3575105700012,308.30387303705527,92700
2022-01-26,328.47096870048057,314.1080017089844,335.74141345337927,310.65683855865547,59400
2022-01-27,317.2708153440307,309.14752197265625,317.53462374292474,305.2362036650251,77700
2022-01-28,310.9911963857238,317.4578857421875,321.0195093642716,308.30387857893845,55800
2022-01-31,317.20015247496445,329.7777404785156,329.7777404785156,317.20015247496445,66600
2022-02-01,329.685744887404,344.2757263183594,346.607170985444,325.6149007223927,97200
2022-02-02,347.5121605431832,341.8645324707031,347.5121605431832,335.6064069423509,66300
2022-02-03,337.1955055916961,334.4744567871094,339.1465585865872,327.20092290880683,44400
2022-02-04,335.311895482086,335.2474670410156,348.4815294412361,329.4157662982762,51000
2022-02-07,328.89126301160945,330.1889038085937,335.7874670800276,325.24990369272086,78600
2022-02-08,327.63043056052,326.2407531738281,332.77802253278475,323.56573654699974,70500
2022-02-09,325.90018304643644,327.299072265625,332.0171777894662,324.6945791550357,66000
2022-02-10,322.98590265205894,330.1428527832031,337.4470278152109,322.98590265205894,72300
2022-02-11,331.31162614118955,339.1189270019531,340.8399023440405,331.31162614118955,64500
2022-02-14,338.39492970627845,325.1792907714844,342.6713045192403,322.7251399818492,57300
2022-02-15,325.1976486549041,317.2461853027344,325.1976486549041,314.2981208989154,54600
2022-02-16,320.9826795580631,313.0220031738281,324.5596097448852,311.5004077755692,47700
2022-02-17,315.2737255840303,308.2364196777344,315.97317030634053,308.2364196777344,55800
2022-02-18,306.77004883584914,308.5124816894531,310.4512893095368,303.05198809344654,75300
2022-02-22,320.4152205927171,306.53692626953125,320.4152205927171,302.4783827750169,77700
2022-02-23,308.1228807948237,310.48193359375,311.0709174171476,303.70231439992165,79800
2022-02-24,310.45128667240834,336.925537109375,337.6832594749144,303.85880157591373,127500
2022-02-25,344.1561044718808,326.9861755371094,344.1561044718808,322.154547390333,93900
2022-02-28,330.3974704109477,364.6667785644531,368.1240643365248,330.3974704109477,183600
2022-03-01,368.1240152323387,369.8695373535156,379.4131479547127,359.53444551503964,137100
2022-03-02,377.7044768914059,381.2384643554688,393.4632428684325,377.7044768914059,124800
2022-03-03,376.7442980768644,376.4835510253906,381.6679629677334,367.3939436372021,89400
2022-03-04,378.77813361482936,398.5402526855469,404.6388514271908,378.77813361482936,105600
2022-03-07,403.1831799905733,397.49615478515625,413.6305286175641,387.0642478883812,102300
2022-03-08,403.3376429813648,397.0791320800781,417.02854742812326,389.55717083917807,121800
2022-03-09,388.1022620103496,397.24908447265625,397.258332543107,385.1799565926027,82200
2022-03-10,400.8848778303193,399.4855346679688,410.5136167509496,394.5398822197268,84900
2022-03-11,402.23483906054383,406.5626525878906,414.9526592601077,400.8879864759318,91500
2022-03-14,405.651342120016,396.6682434082031,416.4075812269284,390.6568574078146,96000
2022-03-15,391.7504101694423,384.0338439941406,391.7504101694423,383.9751597640427,168000
2022-03-16,383.2616064448616,393.7583923339844,403.8999052646799,383.2616064448616,132600
2022-03-17,399.21682994736113,418.72760009765625,420.1176953820657,398.33025957432096,109500
2022-03-18,415.5581660897663,416.5497741699219,423.9790573419053,408.212285240194,288000
2022-03-21,420.11769934359336,431.15814208984375,433.4008133321644,420.11769934359336,139200
2022-03-22,431.39287917957466,429.2459411621094,434.5746394548753,426.9075087060597,93000
2022-03-23,432.4740323319139,438.65533447265625,440.18135077418106,426.46264579107446,69900
2022-03-24,436.7988074334573,436.1531677246094,441.7413492354498,432.16515681811495,57600
