open,close,high,low,date
443.11,444.85,445.55,442.75,2023-09-07
444.9,445.52,447.11,444.53,2023-09-08
448.24,448.45,448.77,446.4699,2023-09-11
446.95,445.99,448.53,445.39,2023-09-12
446.22,446.51,447.71,445.0793,2023-09-13
449.07,450.36,451.08,447.715,2023-09-14
447.14,443.37,447.48,442.92,2023-09-15
443.05,443.63,444.97,442.56,2023-09-18
442.68,442.71,443.29,439.94,2023-09-19
444.01,438.64,444.435,438.43,2023-09-20
435.7,431.39,435.97,431.23,2023-09-21
432.45,430.42,434.1,429.99,2023-09-22
429.17,432.23,432.27,428.72,2023-09-25
429.09,425.88,429.82,425.02,2023-09-26
427.09,426.05,427.67,422.29,2023-09-27
425.48,428.52,430.2499,424.87,2023-09-28
431.67,427.48,431.85,425.91,2023-09-29
426.62,427.31,428.6,424.46,2023-10-02
425.06,421.59,427.3729,420.18,2023-10-03
422.07,424.66,425.4299,420.56,2023-10-04
424.36,424.5,425.37,421.1701,2023-10-05
421.97,429.54,431.125,420.6,2023-10-06
427.58,432.29,432.88,427.0101,2023-10-09
432.94,434.54,437.22,432.53,2023-10-10
435.64,436.32,436.58,433.18,2023-10-11
436.95,433.66,437.335,431.23,2023-10-12
435.21,431.5,436.45,429.88,2023-10-13
433.82,436.04,437.14,433.57,2023-10-16
432.81,436.02,438.14,432.45,2023-10-17
434.19,430.21,435.18,429.09,2023-10-18
430.95,426.43,432.82,425.725,2023-10-19
425.98,421.19,426.54,421.08,2023-10-20
419.61,420.46,424.45,417.8,2023-10-23
422.65,423.63,424.82,420.74,2023-10-24
421.89,417.55,421.92,417.015,2023-10-25
416.45,412.55,417.325,411.6,2023-10-26
414.19,410.68,414.6,409.21,2023-10-27
413.56,415.59,416.68,408.91,2023-10-30
416.18,418.2,418.53,414.21,2023-10-31
419.2,422.66,423.5,418.6499,2023-11-01
426.58,430.76,430.915,426.56,2023-11-02
433.14,434.69,436.29,433.01,2023-11-03
435.47,435.69,436.1498,433.68,2023-11-06
435.69,436.93,437.585,434.51,2023-11-07
437.55,437.25,438.09,434.87,2023-11-08
438.43,433.84,438.47,433.4,2023-11-09
435.98,440.61,440.93,433.8335,2023-11-10
439.23,440.19,441.33,438.42,2023-11-13
446.32,448.73,450.06,446.09,2023-11-14
450.11,449.68,451.38,448.8,2023-11-15
449.22,450.23,450.56,448.12,2023-11-16
450.24,450.79,451.42,449.29,2023-11-17
450.53,454.26,455.125,450.52,2023-11-20
453.1842,453.27,454.131,451.9599,2023-11-21
454.98,455.02,456.38,453.8895,2023-11-22
455.07,455.3,455.5,454.73,2023-11-24
454.65,454.48,455.4901,454.0799,2023-11-27
454.08,454.93,456.27,453.5,2023-11-28
457.15,454.61,458.32,454.2,2023-11-29
455.48,456.4,456.76,453.34,2023-11-30
455.77,459.1,459.65,455.16,2023-12-01
455.6,456.69,459.1206,454.34,2023-12-04
455.26,456.6,457.59,454.87,2023-12-05
458.81,454.76,458.84,454.31,2023-12-06
456.91,458.23,458.9,456.29,2023-12-07
457.46,460.2,460.745,457.21,2023-12-08
459.69,461.99,462.17,459.47,2023-12-11
461.63,464.1,464.2,460.6,2023-12-12
464.49,470.5,470.7599,464.12,2023-12-13
472.5,472.01,473.73,469.25,2023-12-14
469.49,469.33,470.7,467.4263,2023-12-15
470.98,471.97,472.98,469.8929,2023-12-18
472.53,474.84,474.92,472.45,2023-12-19
473.96,468.26,475.895,467.82,2023-12-20
471.33,472.7,472.975,468.84,2023-12-21
473.86,473.65,475.38,471.7,2023-12-22
474.07,475.65,476.58,473.99,2023-12-26
475.44,476.51,476.66,474.89,2023-12-27
476.88,476.69,477.55,476.26,2023-12-28
476.49,475.31,477.03,473.3,2023-12-29
472.16,472.65,473.67,470.49,2024-01-02
470.43,468.79,471.19,468.17,2024-01-03
468.3,467.28,470.96,467.05,2024-01-04
467.49,467.92,470.44,466.43,2024-01-05
468.43,474.6,474.75,468.3,2024-01-08
471.87,473.88,474.93,471.35,2024-01-09
474.16,476.56,477.4481,473.87,2024-01-10
477.59,476.35,478.12,472.26,2024-01-11
477.84,476.68,478.6,475.23,2024-01-12
475.26,474.93,476.6098,473.06,2024-01-16
471.82,472.29,472.79,469.87,2024-01-17
474.01,476.49,477.06,472.42,2024-01-18
477.65,482.43,482.72,476.5374,2024-01-19
484.01,483.45,485.22,482.78,2024-01-22
484.01,484.86,485.105,482.89,2024-01-23
487.81,485.39,488.77,484.8819,2024-01-24
487.575,488.03,488.305,485.39,2024-01-25
487.59,487.41,489.12,486.54,2024-01-26
487.73,491.27,491.415,487.17,2024-01-29
490.56,490.89,491.62,490.11,2024-01-30
488.62,482.88,489.0813,482.86,2024-01-31
484.63,489.2,489.23,483.8,2024-02-01
489.65,494.35,496.05,489.3,2024-02-02
493.695,492.55,494.3778,490.23,2024-02-05
493.52,493.98,494.32,492.05,2024-02-06
496.29,498.1,498.53,495.36,2024-02-07
498.1,498.32,498.71,497.26,2024-02-08
498.84,501.2,501.65,498.49,2024-02-09
501.17,500.98,503.5,500.24,2024-02-12
494.53,494.08,497.09,490.715,2024-02-13
496.79,498.57,499.07,494.4,2024-02-14
499.29,502.01,502.2,498.795,2024-02-15
501.7,499.51,502.87,498.75,2024-02-16
497.72,496.76,498.41,494.45,2024-02-20
495.42,497.21,497.37,493.56,2024-02-21
504.01,507.5,508.49,503.02,2024-02-22
509.27,507.85,510.13,507.1,2024-02-23
508.3,505.99,508.75,505.86,2024-02-26
506.7,506.93,507.16,504.75,2024-02-27
505.33,506.26,506.855,504.96,2024-02-28
508.07,508.08,509.74,505.35,2024-02-29
508.98,512.85,513.29,508.56,2024-03-01
512.03,512.3,514.2,512.0,2024-03-04
510.24,507.18,510.7,504.91,2024-03-05
510.55,509.75,512.069,508.42,2024-03-06
513.14,514.81,515.89,509.8053,2024-03-07
515.46,511.72,518.2201,511.13,2024-03-08
510.48,511.28,511.88,508.5,2024-03-11
513.45,516.78,517.38,510.86,2024-03-12
517.11,515.97,517.29,514.49,2024-03-13
516.97,514.95,517.125,511.82,2024-03-14
510.21,509.83,511.7,508.122,2024-03-15
514.0,512.86,515.48,512.44,2024-03-18
512.15,515.71,515.995,511.12,2024-03-19
515.77,520.48,520.62,515.08,2024-03-20
523.39,522.2,524.11,521.91,2024-03-21
522.11,521.21,522.605,520.97,2024-03-22
519.8,519.77,520.95,519.61,2024-03-25
521.23,518.81,521.58,518.4,2024-03-26
521.71,523.17,523.21,519.485,2024-03-27
523.21,523.07,524.61,522.78,2024-03-28
523.83,522.16,524.38,520.97,2024-04-01
518.24,518.84,518.98,516.48,2024-04-02
517.72,519.41,520.95,517.665,2024-04-03
523.52,513.07,523.8674,512.755,2024-04-04
514.46,518.43,520.44,514.01,2024-04-05
519.15,518.72,520.18,517.89,2024-04-08
520.5,519.32,520.75,514.35,2024-04-09
513.48,514.12,516.16,512.09,2024-04-10
515.68,518.0,519.48,512.08,2024-04-11
514.37,510.85,515.815,509.08,2024-04-12
515.13,504.45,515.3,503.58,2024-04-15
504.94,503.53,506.5,502.21,2024-04-16
506.05,500.55,506.22,499.12,2024-04-17
501.98,499.52,504.13,498.56,2024-04-18
499.44,495.16,500.455,493.86,2024-04-19
497.83,499.72,502.38,495.43,2024-04-22
501.78,505.65,506.09,499.5328,2024-04-23
506.56,505.41,507.37,503.13,2024-04-24
499.18,503.49,504.27,497.49,2024-04-25
506.35,508.26,509.88,505.7,2024-04-26
510.09,510.06,510.75,507.25,2024-04-29
508.56,501.98,509.56,501.98,2024-04-30
501.38,500.35,508.19,499.865,2024-05-01
504.15,505.03,505.89,499.55,2024-05-02
511.16,511.29,512.55,508.56,2024-05-03
513.75,516.57,516.61,513.3,2024-05-06
517.56,517.14,518.57,516.45,2024-05-07
515.26,517.19,517.74,515.14,2024-05-08
517.38,520.17,520.2074,516.705,2024-05-09
521.81,520.84,522.635,519.59,2024-05-10
522.56,520.91,522.67,519.74,2024-05-13
521.11,523.3,523.83,520.56,2024-05-14
525.83,529.78,530.08,525.18,2024-05-15
529.88,528.69,531.5218,528.54,2024-05-16
528.81,529.45,529.52,527.32,2024-05-17
529.57,530.06,531.5601,529.17,2024-05-20
